unit,ts,qty
02c79e63cc9f3f9722ad613c1f0831f7,2021-04-19,0
02c79e63cc9f3f9722ad613c1f0831f7,2021-04-26,0
02c79e63cc9f3f9722ad613c1f0831f7,2021-05-03,82
02c79e63cc9f3f9722ad613c1f0831f7,2021-05-10,5
02c79e63cc9f3f9722ad613c1f0831f7,2021-05-17,-2
02c79e63cc9f3f9722ad613c1f0831f7,2021-05-24,6
02c79e63cc9f3f9722ad613c1f0831f7,2021-05-31,0
02c79e63cc9f3f9722ad613c1f0831f7,2021-06-07,0
02cd5088774774918b324c6642488a9c,2021-03-08,0
02cd5088774774918b324c6642488a9c,2021-03-15,0
02cd5088774774918b324c6642488a9c,2021-03-22,0
02cd5088774774918b324c6642488a9c,2021-03-29,0
02cd5088774774918b324c6642488a9c,2021-04-05,0
02cd5088774774918b324c6642488a9c,2021-04-12,10
02cd5088774774918b324c6642488a9c,2021-04-19,200
02cd5088774774918b324c6642488a9c,2021-04-26,160
02cd5088774774918b324c6642488a9c,2021-05-03,208
02cd5088774774918b324c6642488a9c,2021-05-10,261
02cd5088774774918b324c6642488a9c,2021-05-17,16
02cd5088774774918b324c6642488a9c,2021-05-24,-10
02cd5088774774918b324c6642488a9c,2021-05-31,0
02cd5088774774918b324c6642488a9c,2021-06-07,0
036103887407ab1a29a425399460ef95,2021-03-08,0
036103887407ab1a29a425399460ef95,2021-03-15,0
036103887407ab1a29a425399460ef95,2021-03-22,0
036103887407ab1a29a425399460ef95,2021-03-29,0
036103887407ab1a29a425399460ef95,2021-04-05,2
036103887407ab1a29a425399460ef95,2021-04-12,32
036103887407ab1a29a425399460ef95,2021-04-19,0
036103887407ab1a29a425399460ef95,2021-04-26,0
036103887407ab1a29a425399460ef95,2021-05-03,13
036103887407ab1a29a425399460ef95,2021-05-10,0
036103887407ab1a29a425399460ef95,2021-05-17,0
036103887407ab1a29a425399460ef95,2021-05-24,0
036103887407ab1a29a425399460ef95,2021-05-31,0
036103887407ab1a29a425399460ef95,2021-06-07,0
03e2603c3134f61842a393a960693aff,2021-03-08,0
03e2603c3134f61842a393a960693aff,2021-03-15,0
03e2603c3134f61842a393a960693aff,2021-03-22,0
03e2603c3134f61842a393a960693aff,2021-03-29,0
03e2603c3134f61842a393a960693aff,2021-04-05,0
03e2603c3134f61842a393a960693aff,2021-04-12,0
03e2603c3134f61842a393a960693aff,2021-04-19,0
03e2603c3134f61842a393a960693aff,2021-04-26,0
03e2603c3134f61842a393a960693aff,2021-05-03,0
03e2603c3134f61842a393a960693aff,2021-05-10,0
03e2603c3134f61842a393a960693aff,2021-05-17,0
03e2603c3134f61842a393a960693aff,2021-05-24,0
03e2603c3134f61842a393a960693aff,2021-05-31,0
03e2603c3134f61842a393a960693aff,2021-06-07,0
04b155599672da2f35abd187df4b7d3f,2021-03-08,0
04b155599672da2f35abd187df4b7d3f,2021-03-15,0
04b155599672da2f35abd187df4b7d3f,2021-03-22,0
04b155599672da2f35abd187df4b7d3f,2021-03-29,0
04b155599672da2f35abd187df4b7d3f,2021-04-05,0
04b155599672da2f35abd187df4b7d3f,2021-04-12,0
04b155599672da2f35abd187df4b7d3f,2021-04-19,664
04b155599672da2f35abd187df4b7d3f,2021-04-26,2014
04b155599672da2f35abd187df4b7d3f,2021-05-03,1001
04b155599672da2f35abd187df4b7d3f,2021-05-10,2787
04b155599672da2f35abd187df4b7d3f,2021-05-17,-277
04b155599672da2f35abd187df4b7d3f,2021-05-24,-160
04b155599672da2f35abd187df4b7d3f,2021-05-31,0
04b155599672da2f35abd187df4b7d3f,2021-06-07,0
0540e76625e5b62e3347bde9fc57741f,2021-03-08,0
0540e76625e5b62e3347bde9fc57741f,2021-03-15,0
0540e76625e5b62e3347bde9fc57741f,2021-03-22,0
0540e76625e5b62e3347bde9fc57741f,2021-03-29,61
0540e76625e5b62e3347bde9fc57741f,2021-04-05,86
0540e76625e5b62e3347bde9fc57741f,2021-04-12,-18
0540e76625e5b62e3347bde9fc57741f,2021-04-19,0
0540e76625e5b62e3347bde9fc57741f,2021-04-26,-6
0540e76625e5b62e3347bde9fc57741f,2021-05-03,-9
0540e76625e5b62e3347bde9fc57741f,2021-05-10,-8
0540e76625e5b62e3347bde9fc57741f,2021-05-17,14
0540e76625e5b62e3347bde9fc57741f,2021-05-24,10
0540e76625e5b62e3347bde9fc57741f,2021-05-31,0
0540e76625e5b62e3347bde9fc57741f,2021-06-07,0
05e57068aebed7497f67ace6025434e7,2021-03-08,0
05e57068aebed7497f67ace6025434e7,2021-03-15,0
05e57068aebed7497f67ace6025434e7,2021-03-22,0
05e57068aebed7497f67ace6025434e7,2021-03-29,0
05e57068aebed7497f67ace6025434e7,2021-04-05,0
05e57068aebed7497f67ace6025434e7,2021-04-12,0
05e57068aebed7497f67ace6025434e7,2021-04-19,0
05e57068aebed7497f67ace6025434e7,2021-04-26,0
05e57068aebed7497f67ace6025434e7,2021-05-03,0
05e57068aebed7497f67ace6025434e7,2021-05-10,0
05e57068aebed7497f67ace6025434e7,2021-05-17,0
05e57068aebed7497f67ace6025434e7,2021-05-24,0
05e57068aebed7497f67ace6025434e7,2021-05-31,0
05e57068aebed7497f67ace6025434e7,2021-06-07,0
062c7355c9401311ab23a54c8dc2d6e1,2021-03-08,0
062c7355c9401311ab23a54c8dc2d6e1,2021-03-15,0
062c7355c9401311ab23a54c8dc2d6e1,2021-03-22,0
062c7355c9401311ab23a54c8dc2d6e1,2021-03-29,0
062c7355c9401311ab23a54c8dc2d6e1,2021-04-05,0
062c7355c9401311ab23a54c8dc2d6e1,2021-04-12,0
062c7355c9401311ab23a54c8dc2d6e1,2021-04-19,0
062c7355c9401311ab23a54c8dc2d6e1,2021-04-26,0
062c7355c9401311ab23a54c8dc2d6e1,2021-05-03,0
062c7355c9401311ab23a54c8dc2d6e1,2021-05-10,133
062c7355c9401311ab23a54c8dc2d6e1,2021-05-17,61
062c7355c9401311ab23a54c8dc2d6e1,2021-05-24,0
062c7355c9401311ab23a54c8dc2d6e1,2021-05-31,0
062c7355c9401311ab23a54c8dc2d6e1,2021-06-07,0
0634adffbf492893d5a1352af9722a1b,2021-03-08,0
0634adffbf492893d5a1352af9722a1b,2021-03-15,0
0634adffbf492893d5a1352af9722a1b,2021-03-22,0
0634adffbf492893d5a1352af9722a1b,2021-03-29,0
0634adffbf492893d5a1352af9722a1b,2021-04-05,0
0634adffbf492893d5a1352af9722a1b,2021-04-12,0
0634adffbf492893d5a1352af9722a1b,2021-04-19,0
0634adffbf492893d5a1352af9722a1b,2021-04-26,0
0634adffbf492893d5a1352af9722a1b,2021-05-03,0
0634adffbf492893d5a1352af9722a1b,2021-05-10,0
0634adffbf492893d5a1352af9722a1b,2021-05-17,0
0634adffbf492893d5a1352af9722a1b,2021-05-24,0
0634adffbf492893d5a1352af9722a1b,2021-05-31,0
0634adffbf492893d5a1352af9722a1b,2021-06-07,0
06531cd4188630ce2497cd9983aacf5e,2021-03-08,0
06531cd4188630ce2497cd9983aacf5e,2021-03-15,0
06531cd4188630ce2497cd9983aacf5e,2021-03-22,0
06531cd4188630ce2497cd9983aacf5e,2021-03-29,0
06531cd4188630ce2497cd9983aacf5e,2021-04-05,0
06531cd4188630ce2497cd9983aacf5e,2021-04-12,0
06531cd4188630ce2497cd9983aacf5e,2021-04-19,0
06531cd4188630ce2497cd9983aacf5e,2021-04-26,0
06531cd4188630ce2497cd9983aacf5e,2021-05-03,0
06531cd4188630ce2497cd9983aacf5e,2021-05-10,0
06531cd4188630ce2497cd9983aacf5e,2021-05-17,0
06531cd4188630ce2497cd9983aacf5e,2021-05-24,0
06531cd4188630ce2497cd9983aacf5e,2021-05-31,0
06531cd4188630ce2497cd9983aacf5e,2021-06-07,0
073bda620caa648719cd2a3b2228d717,2021-03-08,23
073bda620caa648719cd2a3b2228d717,2021-03-15,7
073bda620caa648719cd2a3b2228d717,2021-03-22,-12
073bda620caa648719cd2a3b2228d717,2021-03-29,17
073bda620caa648719cd2a3b2228d717,2021-04-05,9
073bda620caa648719cd2a3b2228d717,2021-04-12,11
073bda620caa648719cd2a3b2228d717,2021-04-19,2
073bda620caa648719cd2a3b2228d717,2021-04-26,31
073bda620caa648719cd2a3b2228d717,2021-05-03,-3
073bda620caa648719cd2a3b2228d717,2021-05-10,-9
073bda620caa648719cd2a3b2228d717,2021-05-17,10
073bda620caa648719cd2a3b2228d717,2021-05-24,0
073bda620caa648719cd2a3b2228d717,2021-05-31,0
073bda620caa648719cd2a3b2228d717,2021-06-07,0
089121ea8aafc10a9f31777b0d17c379,2021-03-08,0
089121ea8aafc10a9f31777b0d17c379,2021-03-15,0
089121ea8aafc10a9f31777b0d17c379,2021-03-22,0
089121ea8aafc10a9f31777b0d17c379,2021-03-29,0
089121ea8aafc10a9f31777b0d17c379,2021-04-05,0
089121ea8aafc10a9f31777b0d17c379,2021-04-12,0
089121ea8aafc10a9f31777b0d17c379,2021-04-19,0
089121ea8aafc10a9f31777b0d17c379,2021-04-26,0
089121ea8aafc10a9f31777b0d17c379,2021-05-03,0
089121ea8aafc10a9f31777b0d17c379,2021-05-10,0
089121ea8aafc10a9f31777b0d17c379,2021-05-17,0
089121ea8aafc10a9f31777b0d17c379,2021-05-24,0
089121ea8aafc10a9f31777b0d17c379,2021-05-31,0
089121ea8aafc10a9f31777b0d17c379,2021-06-07,0
08c7c41c2495d1bf0e50ac754711356f,2021-03-08,0
08c7c41c2495d1bf0e50ac754711356f,2021-03-15,0
08c7c41c2495d1bf0e50ac754711356f,2021-03-22,0
08c7c41c2495d1bf0e50ac754711356f,2021-03-29,0
08c7c41c2495d1bf0e50ac754711356f,2021-04-05,0
08c7c41c2495d1bf0e50ac754711356f,2021-04-12,0
08c7c41c2495d1bf0e50ac754711356f,2021-04-19,0
08c7c41c2495d1bf0e50ac754711356f,2021-04-26,0
08c7c41c2495d1bf0e50ac754711356f,2021-05-03,0
08c7c41c2495d1bf0e50ac754711356f,2021-05-10,0
08c7c41c2495d1bf0e50ac754711356f,2021-05-17,0
08c7c41c2495d1bf0e50ac754711356f,2021-05-24,0
08c7c41c2495d1bf0e50ac754711356f,2021-05-31,0
08c7c41c2495d1bf0e50ac754711356f,2021-06-07,0
091e56749c44bef9f58eec0c9ed60280,2021-03-08,0
091e56749c44bef9f58eec0c9ed60280,2021-03-15,0
091e56749c44bef9f58eec0c9ed60280,2021-03-22,0
091e56749c44bef9f58eec0c9ed60280,2021-03-29,0
091e56749c44bef9f58eec0c9ed60280,2021-04-05,412
091e56749c44bef9f58eec0c9ed60280,2021-04-12,-177
091e56749c44bef9f58eec0c9ed60280,2021-04-19,-190
091e56749c44bef9f58eec0c9ed60280,2021-04-26,-53
091e56749c44bef9f58eec0c9ed60280,2021-05-03,104
091e56749c44bef9f58eec0c9ed60280,2021-05-10,3
091e56749c44bef9f58eec0c9ed60280,2021-05-17,225
091e56749c44bef9f58eec0c9ed60280,2021-05-24,-10
091e56749c44bef9f58eec0c9ed60280,2021-05-31,0
091e56749c44bef9f58eec0c9ed60280,2021-06-07,0
093bb5d4aea8b43ae8cb537b04714306,2021-03-08,0
093bb5d4aea8b43ae8cb537b04714306,2021-03-15,0
093bb5d4aea8b43ae8cb537b04714306,2021-03-22,0
093bb5d4aea8b43ae8cb537b04714306,2021-03-29,0
093bb5d4aea8b43ae8cb537b04714306,2021-04-05,0
093bb5d4aea8b43ae8cb537b04714306,2021-04-12,0
093bb5d4aea8b43ae8cb537b04714306,2021-04-19,0
093bb5d4aea8b43ae8cb537b04714306,2021-04-26,0
093bb5d4aea8b43ae8cb537b04714306,2021-05-03,0
093bb5d4aea8b43ae8cb537b04714306,2021-05-10,0
093bb5d4aea8b43ae8cb537b04714306,2021-05-17,0
093bb5d4aea8b43ae8cb537b04714306,2021-05-24,0
093bb5d4aea8b43ae8cb537b04714306,2021-05-31,0
093bb5d4aea8b43ae8cb537b04714306,2021-06-07,0
097c1243265d86a943f57e9ce9388396,2021-03-08,0
097c1243265d86a943f57e9ce9388396,2021-03-15,0
097c1243265d86a943f57e9ce9388396,2021-03-22,0
097c1243265d86a943f57e9ce9388396,2021-03-29,0
097c1243265d86a943f57e9ce9388396,2021-04-05,0
097c1243265d86a943f57e9ce9388396,2021-04-12,0
097c1243265d86a943f57e9ce9388396,2021-04-19,0
097c1243265d86a943f57e9ce9388396,2021-04-26,0
097c1243265d86a943f57e9ce9388396,2021-05-03,0
097c1243265d86a943f57e9ce9388396,2021-05-10,0
097c1243265d86a943f57e9ce9388396,2021-05-17,0
097c1243265d86a943f57e9ce9388396,2021-05-24,0
097c1243265d86a943f57e9ce9388396,2021-05-31,0
097c1243265d86a943f57e9ce9388396,2021-06-07,0
0b0db6dbaddf6a2e5ed6eba8680d9549,2021-03-08,0
0b0db6dbaddf6a2e5ed6eba8680d9549,2021-03-15,0
0b0db6dbaddf6a2e5ed6eba8680d9549,2021-03-22,0
0b0db6dbaddf6a2e5ed6eba8680d9549,2021-03-29,0
0b0db6dbaddf6a2e5ed6eba8680d9549,2021-04-05,0
0b0db6dbaddf6a2e5ed6eba8680d9549,2021-04-12,0
0b0db6dbaddf6a2e5ed6eba8680d9549,2021-04-19,0
0b0db6dbaddf6a2e5ed6eba8680d9549,2021-04-26,0
0b0db6dbaddf6a2e5ed6eba8680d9549,2021-05-03,0
0b0db6dbaddf6a2e5ed6eba8680d9549,2021-05-10,0
0b0db6dbaddf6a2e5ed6eba8680d9549,2021-05-17,0
0b0db6dbaddf6a2e5ed6eba8680d9549,2021-05-24,0
0b0db6dbaddf6a2e5ed6eba8680d9549,2021-05-31,0
0b0db6dbaddf6a2e5ed6eba8680d9549,2021-06-07,0
0b58e3902bcb5b7940af8bbd039e4275,2021-03-08,0
0b58e3902bcb5b7940af8bbd039e4275,2021-03-15,0
0b58e3902bcb5b7940af8bbd039e4275,2021-03-22,0
0b58e3902bcb5b7940af8bbd039e4275,2021-03-29,0
0b58e3902bcb5b7940af8bbd039e4275,2021-04-05,0
0b58e3902bcb5b7940af8bbd039e4275,2021-04-12,0
0b58e3902bcb5b7940af8bbd039e4275,2021-04-19,0
0b58e3902bcb5b7940af8bbd039e4275,2021-04-26,0
0b58e3902bcb5b7940af8bbd039e4275,2021-05-03,0
0b58e3902bcb5b7940af8bbd039e4275,2021-05-10,0
0b58e3902bcb5b7940af8bbd039e4275,2021-05-17,0
0b58e3902bcb5b7940af8bbd039e4275,2021-05-24,0
0b58e3902bcb5b7940af8bbd039e4275,2021-05-31,0
0b58e3902bcb5b7940af8bbd039e4275,2021-06-07,0
0c22aea5f49c1f70b9acb36867571b86,2021-03-08,0
0c22aea5f49c1f70b9acb36867571b86,2021-03-15,0
0c22aea5f49c1f70b9acb36867571b86,2021-03-22,0
0c22aea5f49c1f70b9acb36867571b86,2021-03-29,0
0c22aea5f49c1f70b9acb36867571b86,2021-04-05,0
0c22aea5f49c1f70b9acb36867571b86,2021-04-12,0
0c22aea5f49c1f70b9acb36867571b86,2021-04-19,0
0c22aea5f49c1f70b9acb36867571b86,2021-04-26,0
0c22aea5f49c1f70b9acb36867571b86,2021-05-03,0
0c22aea5f49c1f70b9acb36867571b86,2021-05-10,0
0c22aea5f49c1f70b9acb36867571b86,2021-05-17,0
0c22aea5f49c1f70b9acb36867571b86,2021-05-24,0
0c22aea5f49c1f70b9acb36867571b86,2021-05-31,0
0c22aea5f49c1f70b9acb36867571b86,2021-06-07,0
0c8992ca4747fe66ead82293b80dee32,2021-03-08,0
0c8992ca4747fe66ead82293b80dee32,2021-03-15,0
0c8992ca4747fe66ead82293b80dee32,2021-03-22,0
0c8992ca4747fe66ead82293b80dee32,2021-03-29,0
0c8992ca4747fe66ead82293b80dee32,2021-04-05,0
0c8992ca4747fe66ead82293b80dee32,2021-04-12,0
0c8992ca4747fe66ead82293b80dee32,2021-04-19,0
0c8992ca4747fe66ead82293b80dee32,2021-04-26,0
0c8992ca4747fe66ead82293b80dee32,2021-05-03,0
0c8992ca4747fe66ead82293b80dee32,2021-05-10,0
0c8992ca4747fe66ead82293b80dee32,2021-05-17,0
0c8992ca4747fe66ead82293b80dee32,2021-05-24,0
0c8992ca4747fe66ead82293b80dee32,2021-05-31,0
0c8992ca4747fe66ead82293b80dee32,2021-06-07,0
0d30f704a56653b505d7bf04673ae1a6,2021-03-08,0
0d30f704a56653b505d7bf04673ae1a6,2021-03-15,0
0d30f704a56653b505d7bf04673ae1a6,2021-03-22,0
0d30f704a56653b505d7bf04673ae1a6,2021-03-29,0
0d30f704a56653b505d7bf04673ae1a6,2021-04-05,0
0d30f704a56653b505d7bf04673ae1a6,2021-04-12,0
0d30f704a56653b505d7bf04673ae1a6,2021-04-19,0
0d30f704a56653b505d7bf04673ae1a6,2021-04-26,0
0d30f704a56653b505d7bf04673ae1a6,2021-05-03,0
0d30f704a56653b505d7bf04673ae1a6,2021-05-10,0
0d30f704a56653b505d7bf04673ae1a6,2021-05-17,0
0d30f704a56653b505d7bf04673ae1a6,2021-05-24,0
0d30f704a56653b505d7bf04673ae1a6,2021-05-31,0
0d30f704a56653b505d7bf04673ae1a6,2021-06-07,0
0d778a5d96b8e84ff6c4650ca4741814,2021-03-08,0
0d778a5d96b8e84ff6c4650ca4741814,2021-03-15,0
0d778a5d96b8e84ff6c4650ca4741814,2021-03-22,0
0d778a5d96b8e84ff6c4650ca4741814,2021-03-29,0
0d778a5d96b8e84ff6c4650ca4741814,2021-04-05,0
0d778a5d96b8e84ff6c4650ca4741814,2021-04-12,0
0d778a5d96b8e84ff6c4650ca4741814,2021-04-19,0
0d778a5d96b8e84ff6c4650ca4741814,2021-04-26,0
0d778a5d96b8e84ff6c4650ca4741814,2021-05-03,0
0d778a5d96b8e84ff6c4650ca4741814,2021-05-10,0
0d778a5d96b8e84ff6c4650ca4741814,2021-05-17,0
0d778a5d96b8e84ff6c4650ca4741814,2021-05-24,0
0d778a5d96b8e84ff6c4650ca4741814,2021-05-31,0
0d778a5d96b8e84ff6c4650ca4741814,2021-06-07,0
0e627ddf0d4d009fa9b35f0f951963c3,2021-03-08,0
0e627ddf0d4d009fa9b35f0f951963c3,2021-03-15,0
0e627ddf0d4d009fa9b35f0f951963c3,2021-03-22,0
0e627ddf0d4d009fa9b35f0f951963c3,2021-03-29,0
0e627ddf0d4d009fa9b35f0f951963c3,2021-04-05,0
0e627ddf0d4d009fa9b35f0f951963c3,2021-04-12,0
0e627ddf0d4d009fa9b35f0f951963c3,2021-04-19,0
0e627ddf0d4d009fa9b35f0f951963c3,2021-04-26,0
0e627ddf0d4d009fa9b35f0f951963c3,2021-05-03,0
0e627ddf0d4d009fa9b35f0f951963c3,2021-05-10,0
0e627ddf0d4d009fa9b35f0f951963c3,2021-05-17,0
0e627ddf0d4d009fa9b35f0f951963c3,2021-05-24,0
0e627ddf0d4d009fa9b35f0f951963c3,2021-05-31,0
0e627ddf0d4d009fa9b35f0f951963c3,2021-06-07,0
0e9945e01bf6e69f40d393ef1ece96a6,2021-03-08,0
0e9945e01bf6e69f40d393ef1ece96a6,2021-03-15,0
0e9945e01bf6e69f40d393ef1ece96a6,2021-03-22,0
0e9945e01bf6e69f40d393ef1ece96a6,2021-03-29,0
0e9945e01bf6e69f40d393ef1ece96a6,2021-04-05,0
0e9945e01bf6e69f40d393ef1ece96a6,2021-04-12,0
0e9945e01bf6e69f40d393ef1ece96a6,2021-04-19,0
0e9945e01bf6e69f40d393ef1ece96a6,2021-04-26,0
0e9945e01bf6e69f40d393ef1ece96a6,2021-05-03,0
0e9945e01bf6e69f40d393ef1ece96a6,2021-05-10,0
0e9945e01bf6e69f40d393ef1ece96a6,2021-05-17,0
0e9945e01bf6e69f40d393ef1ece96a6,2021-05-24,0
0e9945e01bf6e69f40d393ef1ece96a6,2021-05-31,0
0e9945e01bf6e69f40d393ef1ece96a6,2021-06-07,0
0ed200398451110389a01e660ba98e47,2021-03-08,0
0ed200398451110389a01e660ba98e47,2021-03-15,0
0ed200398451110389a01e660ba98e47,2021-03-22,0
0ed200398451110389a01e660ba98e47,2021-03-29,0
0ed200398451110389a01e660ba98e47,2021-04-05,0
0ed200398451110389a01e660ba98e47,2021-04-12,0
0ed200398451110389a01e660ba98e47,2021-04-19,0
0ed200398451110389a01e660ba98e47,2021-04-26,0
0ed200398451110389a01e660ba98e47,2021-05-03,0
0ed200398451110389a01e660ba98e47,2021-05-10,0
0ed200398451110389a01e660ba98e47,2021-05-17,0
0ed200398451110389a01e660ba98e47,2021-05-24,0
0ed200398451110389a01e660ba98e47,2021-05-31,0
0ed200398451110389a01e660ba98e47,2021-06-07,0
0efede250ca3d05f9d4cc3609242d804,2021-03-08,0
0efede250ca3d05f9d4cc3609242d804,2021-03-15,0
0efede250ca3d05f9d4cc3609242d804,2021-03-22,0
0efede250ca3d05f9d4cc3609242d804,2021-03-29,337
0efede250ca3d05f9d4cc3609242d804,2021-04-05,57
0efede250ca3d05f9d4cc3609242d804,2021-04-12,193
0efede250ca3d05f9d4cc3609242d804,2021-04-19,472
0efede250ca3d05f9d4cc3609242d804,2021-04-26,973
0efede250ca3d05f9d4cc3609242d804,2021-05-03,44
0efede250ca3d05f9d4cc3609242d804,2021-05-10,55
0efede250ca3d05f9d4cc3609242d804,2021-05-17,73
0efede250ca3d05f9d4cc3609242d804,2021-05-24,0
0efede250ca3d05f9d4cc3609242d804,2021-05-31,0
0efede250ca3d05f9d4cc3609242d804,2021-06-07,0
0fc8b8d79d0fdb10dbeb2fdbef10a0bc,2021-03-08,0
0fc8b8d79d0fdb10dbeb2fdbef10a0bc,2021-03-15,0
0fc8b8d79d0fdb10dbeb2fdbef10a0bc,2021-03-22,0
0fc8b8d79d0fdb10dbeb2fdbef10a0bc,2021-03-29,0
0fc8b8d79d0fdb10dbeb2fdbef10a0bc,2021-04-05,0
0fc8b8d79d0fdb10dbeb2fdbef10a0bc,2021-04-12,0
0fc8b8d79d0fdb10dbeb2fdbef10a0bc,2021-04-19,0
0fc8b8d79d0fdb10dbeb2fdbef10a0bc,2021-04-26,0
0fc8b8d79d0fdb10dbeb2fdbef10a0bc,2021-05-03,0
0fc8b8d79d0fdb10dbeb2fdbef10a0bc,2021-05-10,0
0fc8b8d79d0fdb10dbeb2fdbef10a0bc,2021-05-17,0
0fc8b8d79d0fdb10dbeb2fdbef10a0bc,2021-05-24,0
0fc8b8d79d0fdb10dbeb2fdbef10a0bc,2021-05-31,0
0fc8b8d79d0fdb10dbeb2fdbef10a0bc,2021-06-07,0
0fdebf7cf638cb35b5547019a4251f20,2021-03-08,0
0fdebf7cf638cb35b5547019a4251f20,2021-03-15,0
0fdebf7cf638cb35b5547019a4251f20,2021-03-22,0
0fdebf7cf638cb35b5547019a4251f20,2021-03-29,0
0fdebf7cf638cb35b5547019a4251f20,2021-04-05,0
0fdebf7cf638cb35b5547019a4251f20,2021-04-12,0
0fdebf7cf638cb35b5547019a4251f20,2021-04-19,0
0fdebf7cf638cb35b5547019a4251f20,2021-04-26,0
0fdebf7cf638cb35b5547019a4251f20,2021-05-03,434
