,unit,ts,qty
20,59e86c3431937f5a8b9b84800abd4310,2021-03-22,0.0
27,59e86c3431937f5a8b9b84800abd4310,2021-03-29,0.0
34,59e86c3431937f5a8b9b84800abd4310,2021-04-05,0.0
41,59e86c3431937f5a8b9b84800abd4310,2021-04-12,0.0
48,59e86c3431937f5a8b9b84800abd4310,2021-04-19,0.0
55,59e86c3431937f5a8b9b84800abd4310,2021-04-26,0.0
62,59e86c3431937f5a8b9b84800abd4310,2021-05-03,0.0
69,59e86c3431937f5a8b9b84800abd4310,2021-05-10,0.0
76,59e86c3431937f5a8b9b84800abd4310,2021-05-17,0.0
83,59e86c3431937f5a8b9b84800abd4310,2021-05-24,0.0
90,59e86c3431937f5a8b9b84800abd4310,2021-05-31,0.0
97,59e86c3431937f5a8b9b84800abd4310,2021-06-07,0.0
6,764d74018c52b2c3872a5a0c1fe4afa5,2021-03-08,51.65668402777419
13,764d74018c52b2c3872a5a0c1fe4afa5,2021-03-15,258.7966579861081
20,764d74018c52b2c3872a5a0c1fe4afa5,2021-03-22,423.18684895834446
27,764d74018c52b2c3872a5a0c1fe4afa5,2021-03-29,119.48296440972217
34,764d74018c52b2c3872a5a0c1fe4afa5,2021-04-05,48.04361979166606
41,764d74018c52b2c3872a5a0c1fe4afa5,2021-04-12,6.921657986106766
48,764d74018c52b2c3872a5a0c1fe4afa5,2021-04-19,41.45887586805566
55,764d74018c52b2c3872a5a0c1fe4afa5,2021-04-26,49.89257812500091
62,764d74018c52b2c3872a5a0c1fe4afa5,2021-05-03,0.0
69,764d74018c52b2c3872a5a0c1fe4afa5,2021-05-10,153.2047526041705
76,764d74018c52b2c3872a5a0c1fe4afa5,2021-05-17,1069.8225911458258
83,764d74018c52b2c3872a5a0c1fe4afa5,2021-05-24,79.77484809027828
90,764d74018c52b2c3872a5a0c1fe4afa5,2021-05-31,0.0
97,764d74018c52b2c3872a5a0c1fe4afa5,2021-06-07,0.0
6,e7cef09a00d6b1fa4166b23690b0e9c8,2021-03-08,255.5
13,e7cef09a00d6b1fa4166b23690b0e9c8,2021-03-15,87.83333333333667
20,e7cef09a00d6b1fa4166b23690b0e9c8,2021-03-22,439.500000000009
27,e7cef09a00d6b1fa4166b23690b0e9c8,2021-03-29,63.000000000000114
34,e7cef09a00d6b1fa4166b23690b0e9c8,2021-04-05,0.0
41,e7cef09a00d6b1fa4166b23690b0e9c8,2021-04-12,0.0
48,e7cef09a00d6b1fa4166b23690b0e9c8,2021-04-19,738.1666666666497
55,e7cef09a00d6b1fa4166b23690b0e9c8,2021-04-26,13.833333333333258
62,e7cef09a00d6b1fa4166b23690b0e9c8,2021-05-03,0.0
69,e7cef09a00d6b1fa4166b23690b0e9c8,2021-05-10,0.0
76,e7cef09a00d6b1fa4166b23690b0e9c8,2021-05-17,0.0
83,e7cef09a00d6b1fa4166b23690b0e9c8,2021-05-24,0.0
90,e7cef09a00d6b1fa4166b23690b0e9c8,2021-05-31,0.0
97,e7cef09a00d6b1fa4166b23690b0e9c8,2021-06-07,0.0
6,c236bd9436d0f579ee5423fb8164b1ed,2021-03-08,1752.0000000000236
13,c236bd9436d0f579ee5423fb8164b1ed,2021-03-15,0.0
20,c236bd9436d0f579ee5423fb8164b1ed,2021-03-22,539.99999999996
27,c236bd9436d0f579ee5423fb8164b1ed,2021-03-29,216.00000000000182
34,c236bd9436d0f579ee5423fb8164b1ed,2021-04-05,0.0
41,c236bd9436d0f579ee5423fb8164b1ed,2021-04-12,0.0
48,c236bd9436d0f579ee5423fb8164b1ed,2021-04-19,168.33333333333212
55,c236bd9436d0f579ee5423fb8164b1ed,2021-04-26,3208.666666666726
62,c236bd9436d0f579ee5423fb8164b1ed,2021-05-03,120.33333333333576
69,c236bd9436d0f579ee5423fb8164b1ed,2021-05-10,0.0
76,c236bd9436d0f579ee5423fb8164b1ed,2021-05-17,0.0
83,c236bd9436d0f579ee5423fb8164b1ed,2021-05-24,0.0
90,c236bd9436d0f579ee5423fb8164b1ed,2021-05-31,0.0
97,c236bd9436d0f579ee5423fb8164b1ed,2021-06-07,0.0
6,2318287de787ae3132ab0f19f36e6867,2021-03-08,137.66666666666666
13,2318287de787ae3132ab0f19f36e6867,2021-03-15,0.0
20,2318287de787ae3132ab0f19f36e6867,2021-03-22,0.0
27,2318287de787ae3132ab0f19f36e6867,2021-03-29,0.0
34,2318287de787ae3132ab0f19f36e6867,2021-04-05,0.0
41,2318287de787ae3132ab0f19f36e6867,2021-04-12,0.0
48,2318287de787ae3132ab0f19f36e6867,2021-04-19,0.0
55,2318287de787ae3132ab0f19f36e6867,2021-04-26,1679.0
62,2318287de787ae3132ab0f19f36e6867,2021-05-03,0.9999999999997726
69,2318287de787ae3132ab0f19f36e6867,2021-05-10,0.0
76,2318287de787ae3132ab0f19f36e6867,2021-05-17,0.0
83,2318287de787ae3132ab0f19f36e6867,2021-05-24,0.0
90,2318287de787ae3132ab0f19f36e6867,2021-05-31,0.0
97,2318287de787ae3132ab0f19f36e6867,2021-06-07,0.0
6,8302fd867d8d2317a4fad89a95e07c25,2021-03-08,41.33333333333333
13,8302fd867d8d2317a4fad89a95e07c25,2021-03-15,0.0
20,8302fd867d8d2317a4fad89a95e07c25,2021-03-22,0.0
27,8302fd867d8d2317a4fad89a95e07c25,2021-03-29,0.0
34,8302fd867d8d2317a4fad89a95e07c25,2021-04-05,40.333333333333144
41,8302fd867d8d2317a4fad89a95e07c25,2021-04-12,5.333333333333343
48,8302fd867d8d2317a4fad89a95e07c25,2021-04-19,0.0
55,8302fd867d8d2317a4fad89a95e07c25,2021-04-26,2057.3333333333326
62,8302fd867d8d2317a4fad89a95e07c25,2021-05-03,0.0
69,8302fd867d8d2317a4fad89a95e07c25,2021-05-10,0.0
76,8302fd867d8d2317a4fad89a95e07c25,2021-05-17,0.0
83,8302fd867d8d2317a4fad89a95e07c25,2021-05-24,0.0
90,8302fd867d8d2317a4fad89a95e07c25,2021-05-31,0.0
97,8302fd867d8d2317a4fad89a95e07c25,2021-06-07,0.0
6,ef46d27b122ee0036a901b2c00837e51,2021-03-08,327.7560763888886
13,ef46d27b122ee0036a901b2c00837e51,2021-03-15,8.723958333333371
20,ef46d27b122ee0036a901b2c00837e51,2021-03-22,0.0
27,ef46d27b122ee0036a901b2c00837e51,2021-03-29,0.0
34,ef46d27b122ee0036a901b2c00837e51,2021-04-05,0.0
41,ef46d27b122ee0036a901b2c00837e51,2021-04-12,51.32921006944582
48,ef46d27b122ee0036a901b2c00837e51,2021-04-19,20.37760416666663
55,ef46d27b122ee0036a901b2c00837e51,2021-04-26,0.0
62,ef46d27b122ee0036a901b2c00837e51,2021-05-03,0.0
69,ef46d27b122ee0036a901b2c00837e51,2021-05-10,0.0
76,ef46d27b122ee0036a901b2c00837e51,2021-05-17,0.0
83,ef46d27b122ee0036a901b2c00837e51,2021-05-24,1301.656901041666
90,ef46d27b122ee0036a901b2c00837e51,2021-05-31,630.8875868055545
97,ef46d27b122ee0036a901b2c00837e51,2021-06-07,0.0
6,7d9f0d14c4d5002143ef75e2b2052645,2021-03-08,362.79999999999103
13,7d9f0d14c4d5002143ef75e2b2052645,2021-03-15,0.0
20,7d9f0d14c4d5002143ef75e2b2052645,2021-03-22,0.0
27,7d9f0d14c4d5002143ef75e2b2052645,2021-03-29,0.0
34,7d9f0d14c4d5002143ef75e2b2052645,2021-04-05,0.0
41,7d9f0d14c4d5002143ef75e2b2052645,2021-04-12,5824.599999999993
48,7d9f0d14c4d5002143ef75e2b2052645,2021-04-19,0.0
55,7d9f0d14c4d5002143ef75e2b2052645,2021-04-26,0.0
62,7d9f0d14c4d5002143ef75e2b2052645,2021-05-03,0.0
69,7d9f0d14c4d5002143ef75e2b2052645,2021-05-10,0.0
76,7d9f0d14c4d5002143ef75e2b2052645,2021-05-17,0.0
83,7d9f0d14c4d5002143ef75e2b2052645,2021-05-24,0.0
90,7d9f0d14c4d5002143ef75e2b2052645,2021-05-31,0.0
97,7d9f0d14c4d5002143ef75e2b2052645,2021-06-07,0.0
6,0818ab7b4eca7adb4e64eb212fb9cbfb,2021-03-08,60.33333333333235
13,0818ab7b4eca7adb4e64eb212fb9cbfb,2021-03-15,0.0
20,0818ab7b4eca7adb4e64eb212fb9cbfb,2021-03-22,75.33333333333235
27,0818ab7b4eca7adb4e64eb212fb9cbfb,2021-03-29,11.333333333333258
34,0818ab7b4eca7adb4e64eb212fb9cbfb,2021-04-05,0.0
41,0818ab7b4eca7adb4e64eb212fb9cbfb,2021-04-12,0.0
48,0818ab7b4eca7adb4e64eb212fb9cbfb,2021-04-19,0.0
55,0818ab7b4eca7adb4e64eb212fb9cbfb,2021-04-26,0.0
62,0818ab7b4eca7adb4e64eb212fb9cbfb,2021-05-03,0.0
69,0818ab7b4eca7adb4e64eb212fb9cbfb,2021-05-10,0.0
76,0818ab7b4eca7adb4e64eb212fb9cbfb,2021-05-17,2278.666666666666
83,0818ab7b4eca7adb4e64eb212fb9cbfb,2021-05-24,0.0
90,0818ab7b4eca7adb4e64eb212fb9cbfb,2021-05-31,0.0
97,0818ab7b4eca7adb4e64eb212fb9cbfb,2021-06-07,259.99999999999864
6,25ccef256132ff49d1cdfa3f450f28da,2021-03-08,154.0
13,25ccef256132ff49d1cdfa3f450f28da,2021-03-15,0.0
20,25ccef256132ff49d1cdfa3f450f28da,2021-03-22,29.333333333333456
27,25ccef256132ff49d1cdfa3f450f28da,2021-03-29,27.666666666666657
34,25ccef256132ff49d1cdfa3f450f28da,2021-04-05,4.666666666666629
41,25ccef256132ff49d1cdfa3f450f28da,2021-04-12,0.0
48,25ccef256132ff49d1cdfa3f450f28da,2021-04-19,0.0
55,25ccef256132ff49d1cdfa3f450f28da,2021-04-26,0.0
62,25ccef256132ff49d1cdfa3f450f28da,2021-05-03,0.0
69,25ccef256132ff49d1cdfa3f450f28da,2021-05-10,0.0
76,25ccef256132ff49d1cdfa3f450f28da,2021-05-17,0.0
83,25ccef256132ff49d1cdfa3f450f28da,2021-05-24,0.0
90,25ccef256132ff49d1cdfa3f450f28da,2021-05-31,0.0
97,25ccef256132ff49d1cdfa3f450f28da,2021-06-07,0.0
6,9b9a5878205ada2e67ea36741305cfc6,2021-03-08,191.53993013169952
13,9b9a5878205ada2e67ea36741305cfc6,2021-03-15,0.0
20,9b9a5878205ada2e67ea36741305cfc6,2021-03-22,0.0
27,9b9a5878205ada2e67ea36741305cfc6,2021-03-29,0.0
34,9b9a5878205ada2e67ea36741305cfc6,2021-04-05,0.0
41,9b9a5878205ada2e67ea36741305cfc6,2021-04-12,70.52495023939014
48,9b9a5878205ada2e67ea36741305cfc6,2021-04-19,0.0
55,9b9a5878205ada2e67ea36741305cfc6,2021-04-26,0.0
62,9b9a5878205ada2e67ea36741305cfc6,2021-05-03,0.0
69,9b9a5878205ada2e67ea36741305cfc6,2021-05-10,0.0
76,9b9a5878205ada2e67ea36741305cfc6,2021-05-17,0.0
83,9b9a5878205ada2e67ea36741305cfc6,2021-05-24,0.0
90,9b9a5878205ada2e67ea36741305cfc6,2021-05-31,0.0
97,9b9a5878205ada2e67ea36741305cfc6,2021-06-07,0.0
6,54870354b5a51cb5d9159df67c90ee72,2021-03-08,0.0
13,54870354b5a51cb5d9159df67c90ee72,2021-03-15,0.0
20,54870354b5a51cb5d9159df67c90ee72,2021-03-22,96.33333333333212
27,54870354b5a51cb5d9159df67c90ee72,2021-03-29,225.33333333336122
34,54870354b5a51cb5d9159df67c90ee72,2021-04-05,175.99999999999818
41,54870354b5a51cb5d9159df67c90ee72,2021-04-12,2442.666666666626
48,54870354b5a51cb5d9159df67c90ee72,2021-04-19,220.99999999999818
55,54870354b5a51cb5d9159df67c90ee72,2021-04-26,0.0
62,54870354b5a51cb5d9159df67c90ee72,2021-05-03,536.0000000000273
69,54870354b5a51cb5d9159df67c90ee72,2021-05-10,1160.999999999989
76,54870354b5a51cb5d9159df67c90ee72,2021-05-17,285.33333333333576
83,54870354b5a51cb5d9159df67c90ee72,2021-05-24,2380.3333333333503
90,54870354b5a51cb5d9159df67c90ee72,2021-05-31,126.33333333333121
97,54870354b5a51cb5d9159df67c90ee72,2021-06-07,0.0
6,f012113e9e2997c2329bfc9215d0f12d,2021-03-08,984.4000000001688
13,f012113e9e2997c2329bfc9215d0f12d,2021-03-15,711.1999999997788
20,f012113e9e2997c2329bfc9215d0f12d,2021-03-22,0.0
27,f012113e9e2997c2329bfc9215d0f12d,2021-03-29,0.0
34,f012113e9e2997c2329bfc9215d0f12d,2021-04-05,0.0
41,f012113e9e2997c2329bfc9215d0f12d,2021-04-12,9693.400000000001
48,f012113e9e2997c2329bfc9215d0f12d,2021-04-19,666.400000000016
55,f012113e9e2997c2329bfc9215d0f12d,2021-04-26,0.0
62,f012113e9e2997c2329bfc9215d0f12d,2021-05-03,0.0
69,f012113e9e2997c2329bfc9215d0f12d,2021-05-10,0.0
76,f012113e9e2997c2329bfc9215d0f12d,2021-05-17,0.0
83,f012113e9e2997c2329bfc9215d0f12d,2021-05-24,0.0
90,f012113e9e2997c2329bfc9215d0f12d,2021-05-31,0.0
97,f012113e9e2997c2329bfc9215d0f12d,2021-06-07,0.0
6,7f67440d8d9cb2b7d2baf3c82e8d64e6,2021-03-08,36.666666666667425
13,7f67440d8d9cb2b7d2baf3c82e8d64e6,2021-03-15,0.0
20,7f67440d8d9cb2b7d2baf3c82e8d64e6,2021-03-22,0.0
27,7f67440d8d9cb2b7d2baf3c82e8d64e6,2021-03-29,0.0
34,7f67440d8d9cb2b7d2baf3c82e8d64e6,2021-04-05,0.0
41,7f67440d8d9cb2b7d2baf3c82e8d64e6,2021-04-12,0.0
48,7f67440d8d9cb2b7d2baf3c82e8d64e6,2021-04-19,0.0
55,7f67440d8d9cb2b7d2baf3c82e8d64e6,2021-04-26,0.0
62,7f67440d8d9cb2b7d2baf3c82e8d64e6,2021-05-03,0.0
69,7f67440d8d9cb2b7d2baf3c82e8d64e6,2021-05-10,0.0
76,7f67440d8d9cb2b7d2baf3c82e8d64e6,2021-05-17,0.0
83,7f67440d8d9cb2b7d2baf3c82e8d64e6,2021-05-24,0.0
90,7f67440d8d9cb2b7d2baf3c82e8d64e6,2021-05-31,20.499999999995907
97,7f67440d8d9cb2b7d2baf3c82e8d64e6,2021-06-07,0.0
6,0f3c5a7d9fa33c4f74421382e1c239d6,2021-03-08,1096.6666666666752
13,0f3c5a7d9fa33c4f74421382e1c239d6,2021-03-15,51.33333333333758
20,0f3c5a7d9fa33c4f74421382e1c239d6,2021-03-22,0.0
27,0f3c5a7d9fa33c4f74421382e1c239d6,2021-03-29,12.33333333333951
34,0f3c5a7d9fa33c4f74421382e1c239d6,2021-04-05,871.9999999999818
41,0f3c5a7d9fa33c4f74421382e1c239d6,2021-04-12,58.66666666666606
48,0f3c5a7d9fa33c4f74421382e1c239d6,2021-04-19,0.0
55,0f3c5a7d9fa33c4f74421382e1c239d6,2021-04-26,0.0
62,0f3c5a7d9fa33c4f74421382e1c239d6,2021-05-03,0.0
69,0f3c5a7d9fa33c4f74421382e1c239d6,2021-05-10,0.0
76,0f3c5a7d9fa33c4f74421382e1c239d6,2021-05-17,0.0
83,0f3c5a7d9fa33c4f74421382e1c239d6,2021-05-24,0.0
90,0f3c5a7d9fa33c4f74421382e1c239d6,2021-05-31,0.0
97,0f3c5a7d9fa33c4f74421382e1c239d6,2021-06-07,0.0
6,04de458c5d8e1a1b78966b0256e45682,2021-03-08,115.80000000003929
13,04de458c5d8e1a1b78966b0256e45682,2021-03-15,0.0
20,04de458c5d8e1a1b78966b0256e45682,2021-03-22,2881.5999999998817
27,04de458c5d8e1a1b78966b0256e45682,2021-03-29,1231.8000000002144
34,04de458c5d8e1a1b78966b0256e45682,2021-04-05,0.0
41,04de458c5d8e1a1b78966b0256e45682,2021-04-12,0.0
48,04de458c5d8e1a1b78966b0256e45682,2021-04-19,1963.1999999999607
55,04de458c5d8e1a1b78966b0256e45682,2021-04-26,0.0
62,04de458c5d8e1a1b78966b0256e45682,2021-05-03,0.0
69,04de458c5d8e1a1b78966b0256e45682,2021-05-10,0.0
76,04de458c5d8e1a1b78966b0256e45682,2021-05-17,0.0
83,04de458c5d8e1a1b78966b0256e45682,2021-05-24,0.0
90,04de458c5d8e1a1b78966b0256e45682,2021-05-31,0.0
97,04de458c5d8e1a1b78966b0256e45682,2021-06-07,0.0
6,3727a973c3ed4236bb8b1f5f739d5897,2021-03-08,163.33333333332962
13,3727a973c3ed4236bb8b1f5f739d5897,2021-03-15,0.0
20,3727a973c3ed4236bb8b1f5f739d5897,2021-03-22,111.33333333333553
27,3727a973c3ed4236bb8b1f5f739d5897,2021-03-29,31.666666666666742
34,3727a973c3ed4236bb8b1f5f739d5897,2021-04-05,0.0
41,3727a973c3ed4236bb8b1f5f739d5897,2021-04-12,0.0
48,3727a973c3ed4236bb8b1f5f739d5897,2021-04-19,0.0
55,3727a973c3ed4236bb8b1f5f739d5897,2021-04-26,0.0
62,3727a973c3ed4236bb8b1f5f739d5897,2021-05-03,0.0
69,3727a973c3ed4236bb8b1f5f739d5897,2021-05-10,0.0
76,3727a973c3ed4236bb8b1f5f739d5897,2021-05-17,9606.000000000004
83,3727a973c3ed4236bb8b1f5f739d5897,2021-05-24,0.0
90,3727a973c3ed4236bb8b1f5f739d5897,2021-05-31,0.0
97,3727a973c3ed4236bb8b1f5f739d5897,2021-06-07,468.99999999999454
6,838eecdaaf49f8b5064e7d0655a9776c,2021-03-08,105.00000000000045
13,838eecdaaf49f8b5064e7d0655a9776c,2021-03-15,0.0
20,838eecdaaf49f8b5064e7d0655a9776c,2021-03-22,0.0
27,838eecdaaf49f8b5064e7d0655a9776c,2021-03-29,0.0
34,838eecdaaf49f8b5064e7d0655a9776c,2021-04-05,0.0
41,838eecdaaf49f8b5064e7d0655a9776c,2021-04-12,0.0
48,838eecdaaf49f8b5064e7d0655a9776c,2021-04-19,0.0
55,838eecdaaf49f8b5064e7d0655a9776c,2021-04-26,0.0
62,838eecdaaf49f8b5064e7d0655a9776c,2021-05-03,0.0
69,838eecdaaf49f8b5064e7d0655a9776c,2021-05-10,0.0
76,838eecdaaf49f8b5064e7d0655a9776c,2021-05-17,36.800000000003365
83,838eecdaaf49f8b5064e7d0655a9776c,2021-05-24,34.399999999998045
90,838eecdaaf49f8b5064e7d0655a9776c,2021-05-31,0.0
97,838eecdaaf49f8b5064e7d0655a9776c,2021-06-07,0.0
6,37a0ccb4cf0573f0d0d805dfb1534286,2021-03-08,27.00000000001819
13,37a0ccb4cf0573f0d0d805dfb1534286,2021-03-15,166.66666666665697
20,37a0ccb4cf0573f0d0d805dfb1534286,2021-03-22,42.666666666640594
27,37a0ccb4cf0573f0d0d805dfb1534286,2021-03-29,7.000000000001819
34,37a0ccb4cf0573f0d0d805dfb1534286,2021-04-05,0.0
41,37a0ccb4cf0573f0d0d805dfb1534286,2021-04-12,0.0
48,37a0ccb4cf0573f0d0d805dfb1534286,2021-04-19,0.0
55,37a0ccb4cf0573f0d0d805dfb1534286,2021-04-26,0.0
62,37a0ccb4cf0573f0d0d805dfb1534286,2021-05-03,0.0
69,37a0ccb4cf0573f0d0d805dfb1534286,2021-05-10,0.0
76,37a0ccb4cf0573f0d0d805dfb1534286,2021-05-17,0.0
83,37a0ccb4cf0573f0d0d805dfb1534286,2021-05-24,0.0
90,37a0ccb4cf0573f0d0d805dfb1534286,2021-05-31,2.6666666666751553
97,37a0ccb4cf0573f0d0d805dfb1534286,2021-06-07,0.0
6,bd7e978db4fc16386b95cdbedd7465d2,2021-03-08,92.78115971883096
13,bd7e978db4fc16386b95cdbedd7465d2,2021-03-15,0.0
20,bd7e978db4fc16386b95cdbedd7465d2,2021-03-22,8.583630879719465
27,bd7e978db4fc16386b95cdbedd7465d2,2021-03-29,0.0
34,bd7e978db4fc16386b95cdbedd7465d2,2021-04-05,0.0
41,bd7e978db4fc16386b95cdbedd7465d2,2021-04-12,100.66114679972412
48,bd7e978db4fc16386b95cdbedd7465d2,2021-04-19,0.0
55,bd7e978db4fc16386b95cdbedd7465d2,2021-04-26,0.0
62,bd7e978db4fc16386b95cdbedd7465d2,2021-05-03,0.0
69,bd7e978db4fc16386b95cdbedd7465d2,2021-05-10,5.192446390786188
76,bd7e978db4fc16386b95cdbedd7465d2,2021-05-17,7.607528262668211
83,bd7e978db4fc16386b95cdbedd7465d2,2021-05-24,0.0
90,bd7e978db4fc16386b95cdbedd7465d2,2021-05-31,0.0
97,bd7e978db4fc16386b95cdbedd7465d2,2021-06-07,0.0
6,6b0b999b517268be117ee18a67d0bf34,2021-03-08,263.66666666666237
13,6b0b999b517268be117ee18a67d0bf34,2021-03-15,528.5000000000036
20,6b0b999b517268be117ee18a67d0bf34,2021-03-22,0.0
27,6b0b999b517268be117ee18a67d0bf34,2021-03-29,0.0
34,6b0b999b517268be117ee18a67d0bf34,2021-04-05,0.0
41,6b0b999b517268be117ee18a67d0bf34,2021-04-12,0.0
48,6b0b999b517268be117ee18a67d0bf34,2021-04-19,0.0
55,6b0b999b517268be117ee18a67d0bf34,2021-04-26,0.0
62,6b0b999b517268be117ee18a67d0bf34,2021-05-03,0.0
69,6b0b999b517268be117ee18a67d0bf34,2021-05-10,0.0
76,6b0b999b517268be117ee18a67d0bf34,2021-05-17,0.0
83,6b0b999b517268be117ee18a67d0bf34,2021-05-24,0.0
90,6b0b999b517268be117ee18a67d0bf34,2021-05-31,0.0
97,6b0b999b517268be117ee18a67d0bf34,2021-06-07,0.0
6,e7d59045f2b21d86f5d92cee320bc65a,2021-03-08,21.083441840277843
13,e7d59045f2b21d86f5d92cee320bc65a,2021-03-15,0.0
20,e7d59045f2b21d86f5d92cee320bc65a,2021-03-22,7.150065104166771
27,e7d59045f2b21d86f5d92cee320bc65a,2021-03-29,2.9383680555555642
34,e7d59045f2b21d86f5d92cee320bc65a,2021-04-05,0.0
41,e7d59045f2b21d86f5d92cee320bc65a,2021-04-12,4.781901041666465
48,e7d59045f2b21d86f5d92cee320bc65a,2021-04-19,2.3849826388887365
55,e7d59045f2b21d86f5d92cee320bc65a,2021-04-26,32.93511284722247
62,e7d59045f2b21d86f5d92cee320bc65a,2021-05-03,307.27105034722166
69,e7d59045f2b21d86f5d92cee320bc65a,2021-05-10,7.57161458333303
76,e7d59045f2b21d86f5d92cee320bc65a,2021-05-17,0.0
83,e7d59045f2b21d86f5d92cee320bc65a,2021-05-24,0.0
90,e7d59045f2b21d86f5d92cee320bc65a,2021-05-31,0.0
97,e7d59045f2b21d86f5d92cee320bc65a,2021-06-07,0.0
6,d4807afa555f1faebf978b79ef83b191,2021-03-08,14.794270833333329
13,d4807afa555f1faebf978b79ef83b191,2021-03-15,0.0
20,d4807afa555f1faebf978b79ef83b191,2021-03-22,0.0
27,d4807afa555f1faebf978b79ef83b191,2021-03-29,0.0
34,d4807afa555f1faebf978b79ef83b191,2021-04-05,0.0
41,d4807afa555f1faebf978b79ef83b191,2021-04-12,0.0
48,d4807afa555f1faebf978b79ef83b191,2021-04-19,0.0
55,d4807afa555f1faebf978b79ef83b191,2021-04-26,0.0
62,d4807afa555f1faebf978b79ef83b191,2021-05-03,0.0
69,d4807afa555f1faebf978b79ef83b191,2021-05-10,0.0
76,d4807afa555f1faebf978b79ef83b191,2021-05-17,0.0
83,d4807afa555f1faebf978b79ef83b191,2021-05-24,0.0
90,d4807afa555f1faebf978b79ef83b191,2021-05-31,0.0
97,d4807afa555f1faebf978b79ef83b191,2021-06-07,0.0
6,af87d37d2f29ff81351e3c820fb75367,2021-03-08,32.736545138888864
13,af87d37d2f29ff81351e3c820fb75367,2021-03-15,37.36979166666662
20,af87d37d2f29ff81351e3c820fb75367,2021-03-22,0.0
27,af87d37d2f29ff81351e3c820fb75367,2021-03-29,0.0
34,af87d37d2f29ff81351e3c820fb75367,2021-04-05,0.0
41,af87d37d2f29ff81351e3c820fb75367,2021-04-12,0.0
48,af87d37d2f29ff81351e3c820fb75367,2021-04-19,0.0
55,af87d37d2f29ff81351e3c820fb75367,2021-04-26,0.0
62,af87d37d2f29ff81351e3c820fb75367,2021-05-03,0.0
69,af87d37d2f29ff81351e3c820fb75367,2021-05-10,0.0
76,af87d37d2f29ff81351e3c820fb75367,2021-05-17,0.0
83,af87d37d2f29ff81351e3c820fb75367,2021-05-24,0.0
90,af87d37d2f29ff81351e3c820fb75367,2021-05-31,0.0
97,af87d37d2f29ff81351e3c820fb75367,2021-06-07,21.726888020833755
6,99c4a089d55d1f1108d8ce669343ac37,2021-03-08,355.3333333333358
13,99c4a089d55d1f1108d8ce669343ac37,2021-03-15,668.9999999999636
20,99c4a089d55d1f1108d8ce669343ac37,2021-03-22,7.666666666671517
27,99c4a089d55d1f1108d8ce669343ac37,2021-03-29,0.0
34,99c4a089d55d1f1108d8ce669343ac37,2021-04-05,0.0
41,99c4a089d55d1f1108d8ce669343ac37,2021-04-12,0.0
48,99c4a089d55d1f1108d8ce669343ac37,2021-04-19,221.66666666680248
55,99c4a089d55d1f1108d8ce669343ac37,2021-04-26,1629.6666666665988
62,99c4a089d55d1f1108d8ce669343ac37,2021-05-03,0.0
69,99c4a089d55d1f1108d8ce669343ac37,2021-05-10,0.0
76,99c4a089d55d1f1108d8ce669343ac37,2021-05-17,0.0
83,99c4a089d55d1f1108d8ce669343ac37,2021-05-24,0.0
90,99c4a089d55d1f1108d8ce669343ac37,2021-05-31,0.0
97,99c4a089d55d1f1108d8ce669343ac37,2021-06-07,0.0
6,5c9c46f5af2b6d4e27a3112169c22818,2021-03-08,51.99999999999943
13,5c9c46f5af2b6d4e27a3112169c22818,2021-03-15,3.0000000000001137
20,5c9c46f5af2b6d4e27a3112169c22818,2021-03-22,0.0
